vin,dealer,date,old_price,new_price,event
3TYCZ5AN3PT118355,Squamish Toyota,2026-03-17,,$56988,new_listing
1GCGTDEN5K1152774,Greg Gardner Motors,2026-03-17,,$33900,new_listing
1GC4YUEY6LF110469,Greg Gardner Motors,2026-03-17,,$68900,new_listing
1GC4YVEY3LF234639,Greg Gardner Motors,2026-03-17,,,new_listing
1GT49WEY0MF272558,Greg Gardner Motors,2026-03-17,,$69900,new_listing
1GCGTDEN2M1298472,Greg Gardner Motors,2026-03-17,,$38900,new_listing
1GTU9DEL5MZ397496,Greg Gardner Motors,2026-03-17,,$49900,new_listing
1GC4YTEY8NF309858,Greg Gardner Motors,2026-03-17,,$64888,new_listing
3GCUDEED4NG614020,Greg Gardner Motors,2026-03-17,,$39900,new_listing
1FTFW1ED8NFA36923,Greg Gardner Motors,2026-03-17,,,new_listing
3GTUUFEL0NG577691,Greg Gardner Motors,2026-03-17,,$66900,new_listing
1GC4YTEYXNF229090,Greg Gardner Motors,2026-03-17,,,new_listing
1GTU9CED2NZ234762,Greg Gardner Motors,2026-03-17,,$42900,new_listing
1C6JJTEG0PL552459,Greg Gardner Motors,2026-03-17,,,new_listing
3GCUDEE88PG134777,Greg Gardner Motors,2026-03-17,,$54900,new_listing
1GT49WEYXPF241824,Greg Gardner Motors,2026-03-17,,$89980,new_listing
1GC4YTEY6PF246858,Greg Gardner Motors,2026-03-17,,$73890,new_listing
1GT49TEY3PF159755,Greg Gardner Motors,2026-03-17,,$64888,new_listing
1GCUDJED0PZ120118,Greg Gardner Motors,2026-03-17,,$59900,new_listing
3GTPUCEKXPG122319,Greg Gardner Motors,2026-03-17,,$46900,new_listing
3GTUUEE80PG137284,Greg Gardner Motors,2026-03-17,,$66900,new_listing
1GC4YTEY2RF330131,Greg Gardner Motors,2026-03-17,,$79900,new_listing
3GTUUGEL7RG333984,Greg Gardner Motors,2026-03-17,,$79900,new_listing
2GC4YTEY2R1134696,Greg Gardner Motors,2026-03-17,,$79995,new_listing
5TFPC5DB5RX063212,Coastal Ford Squamish,2026-03-17,,$75900,new_listing
3GCUDFEL2RG383833,Coastal Ford Squamish,2026-03-17,,$51900,new_listing
1FTFW1E89NKE86493,Coastal Ford Squamish,2026-03-17,,$43900,new_listing
1FTEW1E86PFD00710,Coastal Ford Squamish,2026-03-18,,$59900,new_listing
1FTFW1E50NFB19304,Coastal Ford Squamish,2026-03-18,,$67915,new_listing
1FTEW2LP0RFA20297,Coastal Ford Squamish,2026-03-19,,$48900,new_listing
1FTFW1E50NFB19304,Coastal Ford Squamish,2026-03-20,$67915,$42900,price_change
